Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
93956,Mortality rate from cardiovascular disease,,,E92000001,England,England,Male,All ages,,,2001,570.8773,566.89546,574.87896,564.60847,577.19198,88545.87049,24165587,,,Not compared,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,,,E92000001,England,England,Female,All ages,,,2001,374.56014,372.16964,376.9621,370.79645,378.35034,95451.97463,25284159,,,Not compared,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,,,E92000001,England,England,Persons,All ages,,,2001,457.79384,455.68964,459.90531,454.47958,461.1249,183997.84512,49449746,,,Not compared,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E92000001,England,England,Male,All ages,,,2001,570.8773,566.89546,574.87896,564.60847,577.19198,88545.87049,24165587,,,Similar,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E92000001,England,England,Female,All ages,,,2001,374.56014,372.16964,376.9621,370.79645,378.35034,95451.97463,25284159,,,Similar,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E92000001,England,England,Persons,All ages,,,2001,457.79384,455.68964,459.90531,454.47958,461.1249,183997.84512,49449746,,,Similar,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000001,North East region,Regions,Male,All ages,,,2001,642.33102,623.17375,661.88754,612.31116,673.27368,5137.32982,1232102,,,Worse,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000002,North West region,Regions,Male,All ages,,,2001,645.77167,634.02984,657.66413,627.32868,664.56301,13440.63876,3288454,,,Worse,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000003,Yorkshire and the Humber region,Regions,Male,All ages,,,2001,600.0747,587.22457,613.12173,579.90569,620.69899,9446.13708,2421034,,,Worse,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000004,East Midlands region,Regions,Male,All ages,,,2001,573.71979,559.95486,587.71919,552.12578,595.85586,7658.82307,2061015,,,Similar,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000005,West Midlands region,Regions,Male,All ages,,,2001,600.26176,587.50588,613.20843,580.23852,620.72615,9910.5057,2588775,,,Worse,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000006,East of England region,Regions,Male,All ages,,,2001,528.40076,517.14643,539.82796,510.73666,546.4646,9398.82595,2647652,,,Better,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000007,London region,Regions,Male,All ages,,,2001,549.79017,538.53073,561.2165,532.11524,567.85099,10090.75545,3597120,,,Better,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000008,South East region,Regions,Male,All ages,,,2001,519.94095,510.88546,529.11177,505.71702,534.43158,13637.19261,3923985,,,Better,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000009,South West region,Regions,Male,All ages,,,2001,535.46006,524.49957,546.58518,518.25543,553.04538,9825.66206,2405450,,,Better,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000001,North East region,Regions,Female,All ages,,,2001,412.73573,401.60397,424.09669,395.29073,430.71047,5262.21734,1307988,,,Worse,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000002,North West region,Regions,Female,All ages,,,2001,426.25791,419.37143,433.22862,415.43936,437.27126,14775.41339,3484531,,,Worse,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000003,Yorkshire and the Humber region,Regions,Female,All ages,,,2001,383.42372,375.84919,391.11169,371.53385,395.57589,9884.13728,2555609,,,Worse,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000004,East Midlands region,Regions,Female,All ages,,,2001,384.05946,375.69881,392.55838,370.94163,397.49699,8118.29274,2128607,,,Worse,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000005,West Midlands region,Regions,Female,All ages,,,2001,393.16549,385.59905,400.84231,381.28696,405.29924,10415.39564,2691952,,,Worse,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000006,East of England region,Regions,Female,All ages,,,2001,347.77046,340.9197,354.72346,337.01656,358.76079,9951.24157,2752811,,,Better,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000007,London region,Regions,Female,All ages,,,2001,352.98744,346.18249,359.89161,342.30435,363.89996,10423.74118,3725283,,,Better,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000008,South East region,Regions,Female,All ages,,,2001,348.16024,342.67166,353.71392,339.53683,356.93422,15700.71163,4099464,,,Better,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000009,South West region,Regions,Female,All ages,,,2001,347.71574,341.14339,354.3817,337.39679,358.25115,10920.82388,2537914,,,Better,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000001,North East region,Regions,Persons,All ages,,,2001,507.92696,498.06377,517.93414,492.44282,523.74404,10399.54716,2540090,,,Worse,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000002,North West region,Regions,Persons,All ages,,,2001,518.36456,512.27957,524.5033,508.79556,528.05791,28216.05215,6772985,,,Worse,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000003,Yorkshire and the Humber region,Regions,Persons,All ages,,,2001,474.43641,467.72154,481.22302,463.88265,485.15611,19330.27436,4976643,,,Worse,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000004,East Midlands region,Regions,Persons,All ages,,,2001,465.06527,457.76203,472.45495,453.59064,476.73979,15777.1158,4189622,,,Similar,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000005,West Midlands region,Regions,Persons,All ages,,,2001,480.87202,474.20261,487.61091,470.38888,491.51587,20325.90134,5280727,,,Worse,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000006,East of England region,Regions,Persons,All ages,,,2001,425.15884,419.14411,431.2378,415.70547,434.76077,19350.06752,5400463,,,Better,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000007,London region,Regions,Persons,All ages,,,2001,436.65142,430.64646,442.71864,427.21255,446.23431,20514.49662,7322403,,,Better,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000008,South East region,Regions,Persons,All ages,,,2001,421.84264,417.0047,426.72249,414.23432,429.54791,29337.90424,8023449,,,Better,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000009,South West region,Regions,Persons,All ages,,,2001,426.03849,420.22922,431.90765,416.90706,435.30846,20746.48594,4943364,,,Better,Not compared,20010000,,,1y
93956,Mortality rate from cardiovascular disease,,,E92000001,England,England,Male,All ages,,,2002,558.54307,554.62825,562.4775,552.37982,564.75168,87442.02703,24292759,,,Not compared,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,,,E92000001,England,England,Female,All ages,,,2002,368.03129,365.67115,370.4028,364.31542,371.77346,94572.44824,25386508,,,Not compared,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,,,E92000001,England,England,Persons,All ages,,,2002,448.61804,446.54472,450.69855,445.35244,451.90028,182014.47527,49679267,,,Not compared,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E92000001,England,England,Male,All ages,,,2002,558.54307,554.62825,562.4775,552.37982,564.75168,87442.02703,24292759,,,Similar,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E92000001,England,England,Female,All ages,,,2002,368.03129,365.67115,370.4028,364.31542,371.77346,94572.44824,25386508,,,Similar,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E92000001,England,England,Persons,All ages,,,2002,448.61804,446.54472,450.69855,445.35244,451.90028,182014.47527,49679267,,,Similar,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000001,North East region,Regions,Male,All ages,,,2002,625.68869,606.75606,645.02044,596.02293,656.27692,5022.08498,1232838,,,Worse,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000002,North West region,Regions,Male,All ages,,,2002,625.58208,614.07495,637.23867,607.50859,644.00121,13113.97825,3299082,,,Worse,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000003,Yorkshire and the Humber region,Regions,Male,All ages,,,2002,589.96616,577.1596,602.97103,569.86648,610.52436,9252.0637,2431540,,,Worse,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000004,East Midlands region,Regions,Male,All ages,,,2002,574.46991,560.92053,588.247,553.21265,596.25365,7864.5606,2076257,,,Worse,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000005,West Midlands region,Regions,Male,All ages,,,2002,585.38535,572.9344,598.02361,565.84126,605.36253,9798.49513,2597087,,,Worse,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000006,East of England region,Regions,Male,All ages,,,2002,521.84409,510.71387,533.14571,504.37497,539.70953,9352.518,2665059,,,Better,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000007,London region,Regions,Male,All ages,,,2002,525.48474,514.59765,536.53575,508.39548,542.953,9781.87304,3632228,,,Better,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000008,South East region,Regions,Male,All ages,,,2002,514.56499,505.60922,523.6349,500.49775,528.89621,13614.26059,3935274,,,Better,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000009,South West region,Regions,Male,All ages,,,2002,520.1403,509.39331,531.05026,503.27151,537.38593,9642.19274,2423394,,,Better,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000001,North East region,Regions,Female,All ages,,,2002,415.52526,404.36183,426.91752,398.03018,433.54926,5308.24874,1307762,,,Worse,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000002,North West region,Regions,Female,All ages,,,2002,416.18152,409.383,423.06409,405.50157,427.05586,14461.68596,3485798,,,Worse,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000003,Yorkshire and the Humber region,Regions,Female,All ages,,,2002,383.04267,375.51405,390.68348,371.2246,395.12014,9984.40258,2568571,,,Worse,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000004,East Midlands region,Regions,Female,All ages,,,2002,374.15555,365.94943,382.49837,361.28063,387.34653,8003.39584,2145496,,,Similar,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000005,West Midlands region,Regions,Female,All ages,,,2002,379.61942,372.22172,387.12637,368.00642,391.48505,10161.65034,2704156,,,Worse,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000006,East of England region,Regions,Female,All ages,,,2002,341.4914,334.75975,348.32357,330.92448,352.29074,9943.91273,2767629,,,Better,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000007,London region,Regions,Female,All ages,,,2002,345.05888,338.32888,351.88822,334.49401,355.85344,10174.8576,3744443,,,Better,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000008,South East region,Regions,Female,All ages,,,2002,343.45783,338.02011,348.96031,334.91445,352.15098,15579.46324,4109918,,,Better,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000009,South West region,Regions,Female,All ages,,,2002,344.04527,337.55219,350.63067,333.85072,354.45332,10954.83123,2552735,,,Better,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000001,North East region,Regions,Persons,All ages,,,2002,504.4664,494.62553,514.45141,489.01753,520.24858,10330.33372,2540600,,,Worse,Not compared,20020000,,,1y
93956,Mortality rate from cardiovascular disease,E92000001,England,E12000002,North West region,Regions,Persons,All ages,,,2002,504.14772,498.15839,510.19059,494.72943,513.68984,27575.66421,6784880,,,Worse,Not compared,20020000,,,1y
