Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
93965,Under 75 mortality rate from lung cancer,,,E92000001,England,England,Male,<75 yrs,,,2001,53.14981,52.07337,54.24283,51.46031,54.87765,9343,22795797,,,Not compared,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,,,E92000001,England,England,Female,<75 yrs,,,2001,28.83331,28.08146,29.60018,27.65484,30.04649,5593,22931423,,,Not compared,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,,,E92000001,England,England,Persons,<75 yrs,,,2001,40.39639,39.74975,41.05089,39.38051,41.43046,14936,45727220,,,Not compared,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E92000001,England,England,Male,<75 yrs,,,2001,53.14981,52.07337,54.24283,51.46031,54.87765,9343,22795797,,,Similar,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E92000001,England,England,Female,<75 yrs,,,2001,28.83331,28.08146,29.60018,27.65484,30.04649,5593,22931423,,,Similar,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E92000001,England,England,Persons,<75 yrs,,,2001,40.39639,39.74975,41.05089,39.38051,41.43046,14936,45727220,,,Similar,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000001,North East region,Regions,Male,<75 yrs,,,2001,78.78071,73.23997,84.62873,70.18449,88.08541,753,1163775,,,Worse,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000002,North West region,Regions,Male,<75 yrs,,,2001,66.79607,63.59007,70.12135,61.79601,72.07149,1641,3109835,,,Worse,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000003,Yorkshire and the Humber region,Regions,Male,<75 yrs,,,2001,61.23307,57.64648,64.98366,55.65316,67.1914,1096,2284028,,,Worse,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000004,East Midlands region,Regions,Male,<75 yrs,,,2001,49.53228,46.0739,53.18064,44.16595,55.33666,767,1940865,,,Similar,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000005,West Midlands region,Regions,Male,<75 yrs,,,2001,57.35997,54.02294,60.8486,52.16788,62.90187,1110,2444253,,,Worse,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000006,East of England region,Regions,Male,<75 yrs,,,2001,40.95264,38.18647,43.86572,36.65817,45.58588,819,2487717,,,Better,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000007,London region,Regions,Male,<75 yrs,,,2001,54.2735,51.104,57.58707,49.34209,59.53731,1109,3441065,,,Similar,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000008,South East region,Regions,Male,<75 yrs,,,2001,43.02308,40.65299,45.49473,39.33273,46.94783,1244,3688909,,,Better,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000009,South West region,Regions,Male,<75 yrs,,,2001,40.98395,38.19486,43.92257,36.65453,45.6582,804,2235350,,,Better,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000001,North East region,Regions,Female,<75 yrs,,,2001,45.36345,41.41985,49.58098,39.26935,52.08857,487,1187933,,,Worse,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000002,North West region,Regions,Female,<75 yrs,,,2001,38.17635,35.89462,40.56502,34.62764,41.97175,1045,3162156,,,Worse,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000003,Yorkshire and the Humber region,Regions,Female,<75 yrs,,,2001,35.4346,32.87176,38.14404,31.46044,39.74674,709,2316337,,,Worse,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000004,East Midlands region,Regions,Female,<75 yrs,,,2001,27.17634,24.7415,29.7856,23.41604,31.33836,459,1932359,,,Similar,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000005,West Midlands region,Regions,Female,<75 yrs,,,2001,25.26125,23.16177,27.49976,22.01393,28.82891,534,2444482,,,Better,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000006,East of England region,Regions,Female,<75 yrs,,,2001,24.24627,22.21994,26.40745,21.11237,27.69086,529,2489858,,,Better,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000007,London region,Regions,Female,<75 yrs,,,2001,29.04765,26.86958,31.3546,25.67204,32.72035,664,3454808,,,Similar,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000008,South East region,Regions,Female,<75 yrs,,,2001,22.82176,21.18518,24.55102,20.28353,25.57367,723,3692782,,,Better,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000009,South West region,Regions,Female,<75 yrs,,,2001,20.59343,18.71791,22.60579,17.69802,23.80399,443,2250708,,,Better,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000001,North East region,Regions,Persons,<75 yrs,,,2001,61.09784,57.74092,64.59886,55.87104,66.6572,1240,2351708,,,Worse,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000002,North West region,Regions,Persons,<75 yrs,,,2001,51.67619,49.73714,53.67138,48.64483,54.83723,2686,6271991,,,Worse,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000003,Yorkshire and the Humber region,Regions,Persons,<75 yrs,,,2001,47.59857,45.42412,49.85008,44.20558,51.16948,1805,4600365,,,Worse,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000004,East Midlands region,Regions,Persons,<75 yrs,,,2001,37.86599,35.76999,40.05249,34.60271,41.33813,1226,3873224,,,Better,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000005,West Midlands region,Regions,Persons,<75 yrs,,,2001,40.60605,38.66335,42.62096,37.5762,43.80261,1644,4888735,,,Similar,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000006,East of England region,Regions,Persons,<75 yrs,,,2001,32.22369,30.52239,33.99497,29.57336,35.03553,1348,4977575,,,Better,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000007,London region,Regions,Persons,<75 yrs,,,2001,40.98392,39.08818,42.94747,38.02611,44.09828,1773,6895873,,,Similar,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000008,South East region,Regions,Persons,<75 yrs,,,2001,32.47277,31.04924,33.94459,30.25053,34.80652,1967,7381691,,,Better,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,E92000001,England,E12000009,South West region,Regions,Persons,<75 yrs,,,2001,30.33734,28.67497,32.07087,27.74889,33.09,1247,4486058,,,Better,Not compared,20010000,,,1y
93965,Under 75 mortality rate from lung cancer,,,E92000001,England,England,Male,<75 yrs,,,2002,52.37982,51.31637,53.45969,50.71074,54.08687,9309,22898520,,,Not compared,Not compared,20020000,,,1y
