Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
94074,Under 75 mortality rate from chronic lower respiratory disease,,,E92000001,England,England,Male,<75 yrs,,,2001,27.38565,26.60727,28.18096,26.16623,28.64419,4722.6,22795797,,,Not compared,Not compared,20010000,,,1y
94074,Under 75 mortality rate from chronic lower respiratory disease,,,E92000001,England,England,Female,<75 yrs,,,2001,19.77724,19.15371,20.41588,18.80112,20.78828,3814.278,22931423,,,Not compared,Not compared,20010000,,,1y
94074,Under 75 mortality rate from chronic lower respiratory disease,,,E92000001,England,England,Persons,<75 yrs,,,2001,23.33801,22.84459,23.83938,22.56375,24.13067,8536.878,45727220,,,Not compared,Not compared,20010000,,,1y
94074,Under 75 mortality rate from chronic lower respiratory disease,E92000001,England,E92000001,England,England,Male,<75 yrs,,,2001,27.38565,26.60727,28.18096,26.16623,28.64419,4722.6,22795797,,,Similar,Not compared,20010000,,,1y
94074,Under 75 mortality rate from chronic lower respiratory disease,E92000001,England,E92000001,England,England,Female,<75 yrs,,,2001,19.77724,19.15371,20.41588,18.80112,20.78828,3814.278,22931423,,,Similar,Not compared,20010000,,,1y
94074,Under 75 mortality rate from chronic lower respiratory disease,E92000001,England,E92000001,England,England,Persons,<75 yrs,,,2001,23.33801,22.84459,23.83938,22.56375,24.13067,8536.878,45727220,,,Similar,Not compared,20010000,,,1y
94074,Under 75 mortality rate from chronic lower respiratory disease,E92000001,England,E12000001,North East region,Regions,Male,<75 yrs,,,2001,35.1646,31.47674,39.16495,29.49,41.55827,332.52,1163775,,,Worse,Not compared,20010000,,,1y
94074,Under 75 mortality rate from chronic lower respiratory disease,E92000001,England,E12000002,North West region,Regions,Male,<75 yrs,,,2001,31.43078,29.22195,33.76178,28.00374,35.13952,756.84,3109835,,,Worse,Not compared,20010000,,,1y
94074,Under 75 mortality rate from chronic lower respiratory disease,E92000001,England,E12000003,Yorkshire and the Humber region,Regions,Male,<75 yrs,,,2001,32.12415,29.51562,34.90077,28.08742,36.5482,563.04,2284028,,,Worse,Not compared,20010000,,,1y
94074,Under 75 mortality rate from chronic lower respiratory disease,E92000001,England,E12000004,East Midlands region,Regions,Male,<75 yrs,,,2001,27.21605,24.6452,29.98142,23.25019,31.62981,413.1,1940865,,,Similar,Not compared,20010000,,,1y
94074,Under 75 mortality rate from chronic lower respiratory disease,E92000001,England,E12000005,West Midlands region,Regions,Male,<75 yrs,,,2001,27.90961,25.57748,30.39672,24.30268,31.87362,530.4,2444253,,,Similar,Not compared,20010000,,,1y
94074,Under 75 mortality rate from chronic lower respiratory disease,E92000001,England,E12000006,East of England region,Regions,Male,<75 yrs,,,2001,21.76285,19.73893,23.9376,18.6397,25.23333,425.34,2487717,,,Better,Not compared,20010000,,,1y
94074,Under 75 mortality rate from chronic lower respiratory disease,E92000001,England,E12000007,London region,Regions,Male,<75 yrs,,,2001,32.17965,29.72391,34.78269,28.37458,36.32426,646.68,3441065,,,Worse,Not compared,20010000,,,1y
94074,Under 75 mortality rate from chronic lower respiratory disease,E92000001,England,E12000008,South East region,Regions,Male,<75 yrs,,,2001,22.3252,20.60371,24.15167,19.65858,25.23379,626.28,3688909,,,Better,Not compared,20010000,,,1y
