Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
94000,Mortality rate from chronic lower respiratory disease,,,E92000001,England,England,Male,All ages,,,2001,88.23188,86.682,89.80151,85.79741,90.71203,13617.912,24165587,,,Not compared,Not compared,20010000,,,1y
94000,Mortality rate from chronic lower respiratory disease,,,E92000001,England,England,Female,All ages,,,2001,46.46336,45.60448,47.33425,45.11477,47.83972,11332.53,25284159,,,Not compared,Not compared,20010000,,,1y
94000,Mortality rate from chronic lower respiratory disease,,,E92000001,England,England,Persons,All ages,,,2001,61.17707,60.41687,61.94442,59.98181,62.38886,24950.442,49449746,,,Not compared,Not compared,20010000,,,1y
94000,Mortality rate from chronic lower respiratory disease,E92000001,England,E92000001,England,England,Male,All ages,,,2001,88.23188,86.682,89.80151,85.79741,90.71203,13617.912,24165587,,,Similar,Not compared,20010000,,,1y
94000,Mortality rate from chronic lower respiratory disease,E92000001,England,E92000001,England,England,Female,All ages,,,2001,46.46336,45.60448,47.33425,45.11477,47.83972,11332.53,25284159,,,Similar,Not compared,20010000,,,1y
94000,Mortality rate from chronic lower respiratory disease,E92000001,England,E92000001,England,England,Persons,All ages,,,2001,61.17707,60.41687,61.94442,59.98181,62.38886,24950.442,49449746,,,Similar,Not compared,20010000,,,1y
94000,Mortality rate from chronic lower respiratory disease,E92000001,England,E12000001,North East region,Regions,Male,All ages,,,2001,109.63734,101.86519,117.81091,97.56611,122.63438,864.582,1232102,,,Worse,Not compared,20010000,,,1y
94000,Mortality rate from chronic lower respiratory disease,E92000001,England,E12000002,North West region,Regions,Male,All ages,,,2001,106.93175,102.16271,111.85476,99.48341,114.73568,2167.176,3288454,,,Worse,Not compared,20010000,,,1y
94000,Mortality rate from chronic lower respiratory disease,E92000001,England,E12000003,Yorkshire and the Humber region,Regions,Male,All ages,,,2001,100.25092,95.05092,105.64969,92.14343,108.81726,1556.01,2421034,,,Worse,Not compared,20010000,,,1y
94000,Mortality rate from chronic lower respiratory disease,E92000001,England,E12000004,East Midlands region,Regions,Male,All ages,,,2001,95.31276,89.80007,101.05971,86.7283,104.43784,1264.824,2061015,,,Worse,Not compared,20010000,,,1y
94000,Mortality rate from chronic lower respiratory disease,E92000001,England,E12000005,West Midlands region,Regions,Male,All ages,,,2001,85.88757,81.20222,90.75993,78.58604,93.62074,1429.914,2588775,,,Similar,Not compared,20010000,,,1y
94000,Mortality rate from chronic lower respiratory disease,E92000001,England,E12000006,East of England region,Regions,Male,All ages,,,2001,79.97113,75.6237,84.49421,73.19717,87.15052,1396.008,2647652,,,Better,Not compared,20010000,,,1y
94000,Mortality rate from chronic lower respiratory disease,E92000001,England,E12000007,London region,Regions,Male,All ages,,,2001,92.621,88.05294,97.35708,85.49583,100.13409,1677.882,3597120,,,Similar,Not compared,20010000,,,1y
94000,Mortality rate from chronic lower respiratory disease,E92000001,England,E12000008,South East region,Regions,Male,All ages,,,2001,74.06986,70.68882,77.56652,68.79224,79.61446,1935.726,3923985,,,Better,Not compared,20010000,,,1y
94000,Mortality rate from chronic lower respiratory disease,E92000001,England,E12000009,South West region,Regions,Male,All ages,,,2001,70.53437,66.67104,74.55796,64.51658,76.92204,1325.79,2405450,,,Better,Not compared,20010000,,,1y
94000,Mortality rate from chronic lower respiratory disease,E92000001,England,E12000001,North East region,Regions,Female,All ages,,,2001,65.34273,60.95476,69.96212,58.52972,72.68942,830.181,1307988,,,Worse,Not compared,20010000,,,1y
94000,Mortality rate from chronic lower respiratory disease,E92000001,England,E12000002,North West region,Regions,Female,All ages,,,2001,63.78286,61.09585,66.55705,59.58646,68.1806,2146.103,3484531,,,Worse,Not compared,20010000,,,1y
