Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
1205,Lung cancer registrations,,,E92000001,England,England,Persons,All ages,,,2007 - 09,77.728157043457,77.2342834472656,78.2240524291992,,,99424,,,,Not compared,Not compared,20070000,,,3y
1205,Lung cancer registrations,E92000001,England,E92000001,England,England,Persons,All ages,,,2007 - 09,77.728157043457,77.2342834472656,78.2240524291992,,,99424,,,,Similar,Not compared,20070000,,,3y
1205,Lung cancer registrations,E92000001,England,E12000001,North East region (statistical),Regions (statistical),Persons,All ages,,,2007 - 09,116.704559326172,114.054550170898,119.395286560059,,,7839,,,,Worse,Not compared,20070000,,,3y
1205,Lung cancer registrations,E92000001,England,E12000002,North West region (statistical),Regions (statistical),Persons,All ages,,,2007 - 09,96.1063385009766,94.6144638061523,97.613525390625,,,16756,,,,Worse,Not compared,20070000,,,3y
1205,Lung cancer registrations,E92000001,England,E12000003,Yorkshire and the Humber region (statistical),Regions (statistical),Persons,All ages,,,2007 - 09,96.1267471313477,94.4056701660156,97.8681564331055,,,12483,,,,Worse,Not compared,20070000,,,3y
1205,Lung cancer registrations,E92000001,England,E12000004,East Midlands region (statistical),Regions (statistical),Persons,All ages,,,2007 - 09,78.9076461791992,77.2404479980469,80.5981521606445,,,8940,,,,Similar,Not compared,20070000,,,3y
1205,Lung cancer registrations,E92000001,England,E12000005,West Midlands region (statistical),Regions (statistical),Persons,All ages,,,2007 - 09,74.7151260375977,73.24560546875,76.2038497924805,,,10289,,,,Better,Not compared,20070000,,,3y
1205,Lung cancer registrations,E92000001,England,E12000006,East of England region (statistical),Regions (statistical),Persons,All ages,,,2007 - 09,63.1180801391602,61.8235969543457,64.4301452636719,,,9438,,,,Better,Not compared,20070000,,,3y
1205,Lung cancer registrations,E92000001,England,E12000007,London region (statistical),Regions (statistical),Persons,All ages,,,2007 - 09,78.7844467163086,77.2843246459961,80.3025512695313,,,11042,,,,Similar,Not compared,20070000,,,3y
1205,Lung cancer registrations,E92000001,England,E12000008,South East region (statistical),Regions (statistical),Persons,All ages,,,2007 - 09,64.7671585083008,63.6770095825195,65.8693237304688,,,14025,,,,Better,Not compared,20070000,,,3y
1205,Lung cancer registrations,E92000001,England,E12000009,South West region (statistical),Regions (statistical),Persons,All ages,,,2007 - 09,57.3248863220215,56.0977478027344,58.5697784423828,,,8612,,,,Better,Not compared,20070000,,,3y
1205,Lung cancer registrations,,,E92000001,England,England,Persons,All ages,,,2008 - 10,77.8379440307617,77.3485260009766,78.3293304443359,,,101299,,,,Not compared,Not compared,20080000,,,3y
1205,Lung cancer registrations,E92000001,England,E92000001,England,England,Persons,All ages,,,2008 - 10,77.8379440307617,77.3485260009766,78.3293304443359,,,101299,,,,Similar,Not compared,20080000,,,3y
1205,Lung cancer registrations,E92000001,England,E12000001,North East region (statistical),Regions (statistical),Persons,All ages,,,2008 - 10,114.543441772461,111.947639465332,117.178634643555,,,7828,,,,Worse,Not compared,20080000,,,3y
