Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
"1203,""Mortality rate from lung cancer, all ages"",,,E92000001,England,England,Male,All ages,,,2001,96.12352,94.62007,97.64433,93.76115,98.52605,16559,24165587,,,Not compared,Not compared,20010000,,,1y"
"1203,""Mortality rate from lung cancer, all ages"",,,E92000001,England,England,Female,All ages,,,2001,44.76888,43.90774,45.64256,43.41697,46.1498,10439,25284159,,,Not compared,Not compared,20010000,,,1y"
"1203,""Mortality rate from lung cancer, all ages"",,,E92000001,England,England,Persons,All ages,,,2001,65.64041,64.85758,66.43032,64.40944,66.88775,26998,49449746,,,Not compared,Not compared,20010000,,,1y"
"1203,""Mortality rate from lung cancer, all ages"",E92000001,England,E92000001,England,England,Male,All ages,,,2001,96.12352,94.62007,97.64433,93.76115,98.52605,16559,24165587,,,Similar,Not compared,20010000,,,1y"
"1203,""Mortality rate from lung cancer, all ages"",E92000001,England,E92000001,England,England,Female,All ages,,,2001,44.76888,43.90774,45.64256,43.41697,46.1498,10439,25284159,,,Similar,Not compared,20010000,,,1y"
"1203,""Mortality rate from lung cancer, all ages"",E92000001,England,E92000001,England,England,Persons,All ages,,,2001,65.64041,64.85758,66.43032,64.40944,66.88775,26998,49449746,,,Similar,Not compared,20010000,,,1y"
"1203,""Mortality rate from lung cancer, all ages"",E92000001,England,E12000001,North East region (statistical),Regions (statistical),Male,All ages,,,2001,137.22104,129.33164,145.44773,124.93644,150.28402,1250,1232102,,,Worse,Not compared,20010000,,,1y"
"1203,""Mortality rate from lung cancer, all ages"",E92000001,England,E12000002,North West region (statistical),Regions (statistical),Male,All ages,,,2001,114.24087,109.80431,118.80553,107.30493,121.47271,2700,3288454,,,Worse,Not compared,20010000,,,1y"
"1203,""Mortality rate from lung cancer, all ages"",E92000001,England,E12000003,Yorkshire and the Humber region (statistical),Regions (statistical),Male,All ages,,,2001,110.64315,105.61224,115.84614,102.79017,118.89348,1935,2421034,,,Worse,Not compared,20010000,,,1y"
"1203,""Mortality rate from lung cancer, all ages"",E92000001,England,E12000004,East Midlands region (statistical),Regions (statistical),Male,All ages,,,2001,91.48002,86.50019,96.66261,83.72138,99.70666,1375,2061015,,,Similar,Not compared,20010000,,,1y"
"1203,""Mortality rate from lung cancer, all ages"",E92000001,England,E12000005,West Midlands region (statistical),Regions (statistical),Male,All ages,,,2001,97.67788,93.06591,102.45215,90.48091,105.24959,1830,2588775,,,Similar,Not compared,20010000,,,1y"
"1203,""Mortality rate from lung cancer, all ages"",E92000001,England,E12000006,East of England region (statistical),Regions (statistical),Male,All ages,,,2001,77.32417,73.42324,81.37501,71.24246,83.75194,1540,2647652,,,Better,Not compared,20010000,,,1y"
