Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
90810,Hospital admissions for asthma (under 19 years),,,E92000001,England,England,Male,0-18 yrs,,,2013/14,232.46419940241,228.687754852045,236.287372600578,226.531713395181,238.504755017191,14439,6211279,,,Not compared,Not compared,20130000,,,1y
"90810,Hospital admissions for asthma (under 19 years),,,E92000001,England,England,Male,0-18 yrs,""County & UA deprivation deciles in England (IMD2019, 4/19 and 4/20 geog.)"",Most deprived decile (IMD2019),2013/14,384.66,369.9,400.5,361.4,409.6,2460,639521,,,Worse,Not compared,20130000,,,1y"
"90810,Hospital admissions for asthma (under 19 years),,,E92000001,England,England,Male,0-18 yrs,""County & UA deprivation deciles in England (IMD2019, 4/19 and 4/20 geog.)"",Second most deprived decile (IMD2019),2013/14,275.74,259.6,292.1,250.8,301.8,1125,407991,,,Worse,Not compared,20130000,,,1y"
"90810,Hospital admissions for asthma (under 19 years),,,E92000001,England,England,Male,0-18 yrs,""County & UA deprivation deciles in England (IMD2019, 4/19 and 4/20 geog.)"",Third more deprived decile (IMD2019),2013/14,235.3,222,248.4,214.7,256.4,1230,522739,,,Similar,Not compared,20130000,,,1y"
"90810,Hospital admissions for asthma (under 19 years),,,E92000001,England,England,Male,0-18 yrs,""County & UA deprivation deciles in England (IMD2019, 4/19 and 4/20 geog.)"",Fourth more deprived decile (IMD2019),2013/14,237.97,224.5,251.6,217.1,259.8,1200,504267,,,Similar,Not compared,20130000,,,1y"
"90810,Hospital admissions for asthma (under 19 years),,,E92000001,England,England,Male,0-18 yrs,""County & UA deprivation deciles in England (IMD2019, 4/19 and 4/20 geog.)"",Fifth more deprived decile (IMD2019),2013/14,317.59,303.4,332,295.5,340.5,1920,604553,,,Worse,Not compared,20130000,,,1y"
"90810,Hospital admissions for asthma (under 19 years),,,E92000001,England,England,Male,0-18 yrs,""County & UA deprivation deciles in England (IMD2019, 4/19 and 4/20 geog.)"",Fifth less deprived decile (IMD2019),2013/14,195.63,184.4,208.2,177.9,215.4,1055,539281,,,Better,Not compared,20130000,,,1y"
"90810,Hospital admissions for asthma (under 19 years),,,E92000001,England,England,Male,0-18 yrs,""County & UA deprivation deciles in England (IMD2019, 4/19 and 4/20 geog.)"",Fourth less deprived decile (IMD2019),2013/14,179,170,188.1,165.1,193.5,1535,857531,,,Better,Not compared,20130000,,,1y"
"90810,Hospital admissions for asthma (under 19 years),,,E92000001,England,England,Male,0-18 yrs,""County & UA deprivation deciles in England (IMD2019, 4/19 and 4/20 geog.)"",Third less deprived decile (IMD2019),2013/14,209.5,199.5,220.4,193.8,226.6,1570,749395,,,Better,Not compared,20130000,,,1y"
"90810,Hospital admissions for asthma (under 19 years),,,E92000001,England,England,Male,0-18 yrs,""County & UA deprivation deciles in England (IMD2019, 4/19 and 4/20 geog.)"",Second least deprived decile (IMD2019),2013/14,181.72,173.2,190.8,168.3,196.1,1650,907997,,,Better,Not compared,20130000,,,1y"
"90810,Hospital admissions for asthma (under 19 years),,,E92000001,England,England,Male,0-18 yrs,""County & UA deprivation deciles in England (IMD2019, 4/19 and 4/20 geog.)"",Least deprived decile (IMD2019),2013/14,139.37,129,150,123.4,156.3,690,495099,,,Better,Not compared,20130000,,,1y"
"90810,Hospital admissions for asthma (under 19 years),,,E92000001,England,England,Male,0-18 yrs,""District & UA deprivation deciles in England (IMD2019, 4/19 geog.)"",Most deprived decile (IMD2019),2013/14,351.16,339.4,363,332.8,370,3410,971072,,,Worse,Not compared,20130000,,,1y"
