Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",,,E92000001,England,England,Male,All ages,,,2001 - 03,84.49253,83.62102,85.37054,83.12148,85.87862,39469.864,72886051,,,Not compared,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",,,E92000001,England,England,Female,All ages,,,2001 - 03,43.90497,43.4234,44.39051,43.14754,44.67158,32338.797,76168479,,,Not compared,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",,,E92000001,England,England,Persons,All ages,,,2001 - 03,58.31041,57.88268,58.74051,57.63711,58.98918,71808.661,149054530,,,Not compared,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E92000001,England,England,Male,All ages,,,2001 - 03,84.49253,83.62102,85.37054,83.12148,85.87862,39469.864,72886051,,,Similar,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E92000001,England,England,Female,All ages,,,2001 - 03,43.90497,43.4234,44.39051,43.14754,44.67158,32338.797,76168479,,,Similar,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E92000001,England,England,Persons,All ages,,,2001 - 03,58.31041,57.88268,58.74051,57.63711,58.98918,71808.661,149054530,,,Similar,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000001,North East region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,105.9683,101.52107,110.54847,99.01774,113.22593,2521.764,3697475,,,Worse 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000002,North West region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,100.58173,97.93832,103.27502,96.43706,104.84171,6252.819,9906192,,,Worse 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000003,Yorkshire and the Humber region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,95.81348,92.8695,98.82318,91.2022,100.57665,4483.656,7297804,,,Worse 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000004,East Midlands region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,89.37319,86.30362,92.51914,84.56877,94.35408,3620.143,6230636,,,Worse 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000005,West Midlands region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,84.79558,82.10337,87.54956,80.57941,89.15449,4249.456,7796374,,,Similar,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000006,East of England region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,75.03017,72.61546,77.50191,71.24934,78.94279,4012.627,7996530,,,Better 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000007,London region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,87.66055,85.08352,90.29371,83.6234,91.82742,4708.124,10871818,,,Worse 95%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000008,South East region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,71.69113,69.77592,73.64432,68.68906,74.78098,5670.456,11818864,,,Better 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000009,South West region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,69.53325,67.3124,71.80697,66.05613,73.13253,3950.819,7270358,,,Better 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000001,North East region (statistical),Regions (statistical),Female,All ages,,,2001 - 03,65.87503,63.31692,68.5096,61.87696,70.04969,2523.02,3923676,,,Worse 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000002,North West region (statistical),Regions (statistical),Female,All ages,,,2001 - 03,60.64484,59.12737,62.1912,58.26568,63.09078,6142.228,10466333,,,Worse 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000003,Yorkshire and the Humber region (statistical),Regions (statistical),Female,All ages,,,2001 - 03,53.12538,51.47685,54.81294,50.54425,55.79673,3989.521,7705264,,,Worse 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000004,East Midlands region (statistical),Regions (statistical),Female,All ages,,,2001 - 03,40.90818,39.32086,42.54278,38.42729,43.49829,2538.834,6435819,,,Better 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000005,West Midlands region (statistical),Regions (statistical),Female,All ages,,,2001 - 03,43.28318,41.82916,44.77456,41.00793,45.64476,3396.698,8111071,,,Similar,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000006,East of England region (statistical),Regions (statistical),Female,All ages,,,2001 - 03,35.18156,33.90692,36.49152,33.18817,37.25655,2927.915,8310754,,,Better 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000007,London region (statistical),Regions (statistical),Female,All ages,,,2001 - 03,43.32838,41.92649,44.76488,41.13406,45.60268,3676.262,11222073,,,Similar,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000008,South East region (statistical),Regions (statistical),Female,All ages,,,2001 - 03,34.44545,33.41622,35.49797,32.83346,36.11125,4366.393,12337701,,,Better 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000009,South West region (statistical),Regions (statistical),Female,All ages,,,2001 - 03,31.35667,30.18314,32.56359,29.5218,33.26868,2777.926,7655788,,,Better 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000001,North East region (statistical),Regions (statistical),Persons,All ages,,,2001 - 03,79.08174,76.89168,81.31786,75.65007,82.61987,5044.784,7621151,,,Worse 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000002,North West region (statistical),Regions (statistical),Persons,All ages,,,2001 - 03,73.95089,72.64714,75.27206,71.9034,76.03867,12395.047,20372525,,,Worse 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000003,Yorkshire and the Humber region (statistical),Regions (statistical),Persons,All ages,,,2001 - 03,67.74967,66.30785,69.21483,65.48723,70.06607,8473.177,15003068,,,Worse 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000004,East Midlands region (statistical),Regions (statistical),Persons,All ages,,,2001 - 03,58.29482,56.83829,59.77904,56.01119,60.64246,6158.977,12666455,,,Similar,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000005,West Midlands region (statistical),Regions (statistical),Persons,All ages,,,2001 - 03,58.19887,56.89208,59.52793,56.14883,60.3004,7646.154,15907445,,,Similar,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000006,East of England region (statistical),Regions (statistical),Persons,All ages,,,2001 - 03,49.4889,48.32559,50.67303,47.6644,51.36154,6940.542,16307284,,,Better 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000007,London region (statistical),Regions (statistical),Persons,All ages,,,2001 - 03,59.73006,58.4529,61.028,57.72605,61.78212,8384.386,22093891,,,Worse 95%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000008,South East region (statistical),Regions (statistical),Persons,All ages,,,2001 - 03,47.75422,46.82016,48.70216,46.28796,49.25257,10036.849,24156565,,,Better 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000009,South West region (statistical),Regions (statistical),Persons,All ages,,,2001 - 03,45.34048,44.25805,46.4426,43.64296,47.0835,6728.745,14926146,,,Better 99.8%,Not compared,20010000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",,,E92000001,England,England,Male,All ages,,,2002 - 04,81.98663,81.1349,82.84476,80.64672,83.34136,38838.766,73293998,,,Not compared,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",,,E92000001,England,England,Female,All ages,,,2002 - 04,43.85276,43.37267,44.33681,43.09766,44.61701,32512.151,76505386,,,Not compared,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",,,E92000001,England,England,Persons,All ages,,,2002 - 04,57.45751,57.03431,57.88305,56.79136,58.12908,71350.917,149799384,,,Not compared,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E92000001,England,England,Male,All ages,,,2002 - 04,81.98663,81.1349,82.84476,80.64672,83.34136,38838.766,73293998,,,Similar,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E92000001,England,England,Female,All ages,,,2002 - 04,43.85276,43.37267,44.33681,43.09766,44.61701,32512.151,76505386,,,Similar,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E92000001,England,England,Persons,All ages,,,2002 - 04,57.45751,57.03431,57.88305,56.79136,58.12908,71350.917,149799384,,,Similar,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000001,North East region (statistical),Regions (statistical),Male,All ages,,,2002 - 04,104.21493,99.87741,108.68161,97.43563,111.2926,2540.376,3698821,,,Worse 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000002,North West region (statistical),Regions (statistical),Male,All ages,,,2002 - 04,95.92827,93.37151,98.534,91.9198,100.04995,6070.542,9956054,,,Worse 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000003,Yorkshire and the Humber region (statistical),Regions (statistical),Male,All ages,,,2002 - 04,93.37334,90.48268,96.32903,88.84579,98.05116,4418.292,7347782,,,Worse 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000004,East Midlands region (statistical),Regions (statistical),Male,All ages,,,2002 - 04,83.78429,80.84584,86.79751,79.18586,88.55549,3462.923,6280475,,,Similar,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000005,West Midlands region (statistical),Regions (statistical),Male,All ages,,,2002 - 04,83.72786,81.06582,86.45105,79.55898,88.03806,4237.184,7830868,,,Similar,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000006,East of England region (statistical),Regions (statistical),Male,All ages,,,2002 - 04,71.73794,69.40058,74.13127,68.07856,75.52664,3905.865,8046048,,,Better 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000007,London region (statistical),Regions (statistical),Male,All ages,,,2002 - 04,85.16403,82.63328,87.75062,81.19971,89.25741,4588.687,10934344,,,Worse 95%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000008,South East region (statistical),Regions (statistical),Male,All ages,,,2002 - 04,70.51949,68.63695,72.43936,67.56865,73.55664,5665.387,11875146,,,Better 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000009,South West region (statistical),Regions (statistical),Male,All ages,,,2002 - 04,68.70817,66.51216,70.95647,65.26995,72.26721,3949.51,7324460,,,Better 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000001,North East region (statistical),Regions (statistical),Female,All ages,,,2002 - 04,66.83067,64.25899,69.47842,62.81104,71.02602,2574.513,3922742,,,Worse 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000002,North West region (statistical),Regions (statistical),Female,All ages,,,2002 - 04,59.92999,58.42373,61.46503,57.56846,62.35806,6096.899,10483855,,,Worse 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000003,Yorkshire and the Humber region (statistical),Regions (statistical),Female,All ages,,,2002 - 04,52.62936,50.99404,54.30345,50.06892,55.27938,3983.31,7741842,,,Worse 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000004,East Midlands region (statistical),Regions (statistical),Female,All ages,,,2002 - 04,40.34817,38.77919,41.96394,37.89598,42.90845,2532.564,6487834,,,Better 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000005,West Midlands region (statistical),Regions (statistical),Female,All ages,,,2002 - 04,42.51153,41.07463,43.98555,40.26315,44.84567,3361.584,8142226,,,Similar,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000006,East of England region (statistical),Regions (statistical),Female,All ages,,,2002 - 04,34.48523,33.23078,35.77456,32.52346,36.52757,2908.828,8369337,,,Better 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000007,London region (statistical),Regions (statistical),Female,All ages,,,2002 - 04,43.83871,42.42323,45.28905,41.62308,46.1349,3693.43,11269874,,,Similar,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000008,South East region (statistical),Regions (statistical),Female,All ages,,,2002 - 04,34.87526,33.84299,35.93066,33.2584,36.54555,4455.458,12391070,,,Better 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000009,South West region (statistical),Regions (statistical),Female,All ages,,,2002 - 04,32.64471,31.44833,33.87436,30.77378,34.59252,2905.565,7696606,,,Better 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000001,North East region (statistical),Regions (statistical),Persons,All ages,,,2002 - 04,79.39932,77.21466,81.6296,75.97597,82.92813,5114.889,7621563,,,Worse 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000002,North West region (statistical),Regions (statistical),Persons,All ages,,,2002 - 04,72.13159,70.84682,73.4337,70.11397,74.18928,12167.441,20439909,,,Worse 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000003,Yorkshire and the Humber region (statistical),Regions (statistical),Persons,All ages,,,2002 - 04,66.68573,65.25934,68.13531,64.44755,68.97752,8401.602,15089624,,,Worse 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000004,East Midlands region (statistical),Regions (statistical),Persons,All ages,,,2002 - 04,56.0095,54.58986,57.45649,53.78388,58.29836,5995.487,12768309,,,Better 95%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000005,West Midlands region (statistical),Regions (statistical),Persons,All ages,,,2002 - 04,57.22833,55.93876,58.53996,55.20533,59.30232,7598.768,15973094,,,Similar,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000006,East of England region (statistical),Regions (statistical),Persons,All ages,,,2002 - 04,47.88746,46.75049,49.04498,46.10435,49.71807,6814.693,16415385,,,Better 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000007,London region (statistical),Regions (statistical),Persons,All ages,,,2002 - 04,59.27364,57.99753,60.57065,57.27133,61.32427,8282.117,22204218,,,Worse 95%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000008,South East region (statistical),Regions (statistical),Persons,All ages,,,2002 - 04,47.72872,46.79833,48.67289,46.26819,49.22109,10120.845,24266216,,,Better 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",E92000001,England,E12000009,South West region (statistical),Regions (statistical),Persons,All ages,,,2002 - 04,45.70599,44.62371,46.80777,44.00862,47.44843,6855.075,15021066,,,Better 99.8%,Not compared,20020000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",,,E92000001,England,England,Male,All ages,,,2003 - 05,79.67184,78.8416,80.50836,78.36575,80.99245,38411.224,73787882,,,Not compared,Not compared,20030000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",,,E92000001,England,England,Female,All ages,,,2003 - 05,44.0233,43.54365,44.50688,43.26887,44.78681,32863.474,76938269,,,Not compared,Not compared,20030000,,,3y"
"1204,""Mortality rate from chronic obstructive pulmonary disease, all ages"",,,E92000001,England,England,Persons,All ages,,,2003 - 05,56.85397,56.43489,57.27537,56.19431,57.51901,71274.698,150726151,,,Not compared,Not compared,20030000,,,3y"
