Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
"93999,""Mortality rate from influenza and pneumonia, all ages"",,,E92000001,England,England,Male,All ages,,,2001,102.62735,100.72308,104.55656,99.63654,105.67584,12902.5715,24165587,,,Not compared,Not compared,20010000,,,1y"
"93999,""Mortality rate from influenza and pneumonia, all ages"",,,E92000001,England,England,Female,All ages,,,2001,78.70179,77.62081,79.794,77.00266,80.42689,20442.69481,25284159,,,Not compared,Not compared,20010000,,,1y"
"93999,""Mortality rate from influenza and pneumonia, all ages"",,,E92000001,England,England,Persons,All ages,,,2001,86.82194,85.88289,87.76861,85.34492,88.3166,33345.26632,49449746,,,Not compared,Not compared,20010000,,,1y"
"93999,""Mortality rate from influenza and pneumonia, all ages"",E92000001,England,E92000001,England,England,Male,All ages,,,2001,102.62735,100.72308,104.55656,99.63654,105.67584,12902.5715,24165587,,,Similar,Not compared,20010000,,,1y"
"93999,""Mortality rate from influenza and pneumonia, all ages"",E92000001,England,E92000001,England,England,Female,All ages,,,2001,78.70179,77.62081,79.794,77.00266,80.42689,20442.69481,25284159,,,Similar,Not compared,20010000,,,1y"
"93999,""Mortality rate from influenza and pneumonia, all ages"",E92000001,England,E92000001,England,England,Persons,All ages,,,2001,86.82194,85.88289,87.76861,85.34492,88.3166,33345.26632,49449746,,,Similar,Not compared,20010000,,,1y"
"93999,""Mortality rate from influenza and pneumonia, all ages"",E92000001,England,E12000001,North East region (statistical),Regions (statistical),Male,All ages,,,2001,110.65137,101.15168,120.71864,95.93098,126.68005,651.65322,1232102,,,Similar,Not compared,20010000,,,1y"
"93999,""Mortality rate from influenza and pneumonia, all ages"",E92000001,England,E12000002,North West region (statistical),Regions (statistical),Male,All ages,,,2001,107.52253,102.11234,113.12498,99.08077,116.40819,1795.25452,3288454,,,Similar,Not compared,20010000,,,1y"
"93999,""Mortality rate from influenza and pneumonia, all ages"",E92000001,England,E12000003,Yorkshire and the Humber region (statistical),Regions (statistical),Male,All ages,,,2001,98.53496,92.54715,104.78363,89.2135,108.45838,1204.82905,2421034,,,Similar,Not compared,20010000,,,1y"
"93999,""Mortality rate from influenza and pneumonia, all ages"",E92000001,England,E12000004,East Midlands region (statistical),Regions (statistical),Male,All ages,,,2001,99.59128,93.13893,106.34276,89.55471,110.31799,1067.09895,2061015,,,Similar,Not compared,20010000,,,1y"
"93999,""Mortality rate from influenza and pneumonia, all ages"",E92000001,England,E12000005,West Midlands region (statistical),Regions (statistical),Male,All ages,,,2001,98.09783,92.24067,104.20159,88.97592,107.78884,1288.10023,2588775,,,Similar,Not compared,20010000,,,1y"
"93999,""Mortality rate from influenza and pneumonia, all ages"",E92000001,England,E12000006,East of England region (statistical),Regions (statistical),Male,All ages,,,2001,101.31393,95.76317,107.08519,92.66331,110.47354,1443.0364,2647652,,,Similar,Not compared,20010000,,,1y"
"93999,""Mortality rate from influenza and pneumonia, all ages"",E92000001,England,E12000007,London region (statistical),Regions (statistical),Male,All ages,,,2001,128.82257,122.7704,135.08043,119.37488,138.74525,1959.299,3597120,,,Worse,Not compared,20010000,,,1y"
"93999,""Mortality rate from influenza and pneumonia, all ages"",E92000001,England,E12000008,South East region (statistical),Regions (statistical),Male,All ages,,,2001,96.36627,92.09184,100.77984,89.69093,103.36293,2132.83663,3923985,,,Better,Not compared,20010000,,,1y"
"93999,""Mortality rate from influenza and pneumonia, all ages"",E92000001,England,E12000009,South West region (statistical),Regions (statistical),Male,All ages,,,2001,88.17508,83.29587,93.25406,80.57368,96.23753,1360.46352,2405450,,,Better,Not compared,20010000,,,1y"
