Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
"93963,""Mortality rate from respiratory disease, all ages"",,,E92000001,England,England,Male,All ages,,,2001 - 03,212.86305,211.38449,214.34888,210.53523,215.20769,90753.72564,72886051,,,Not compared,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",,,E92000001,England,England,Female,All ages,,,2001 - 03,141.7507,140.90262,142.60259,140.41534,143.09489,108527.49357,76168479,,,Not compared,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",,,E92000001,England,England,Persons,All ages,,,2001 - 03,166.75776,166.0206,167.49737,165.59664,167.92454,199281.21921,149054530,,,Not compared,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E92000001,England,England,Male,All ages,,,2001 - 03,212.86305,211.38449,214.34888,210.53523,215.20769,90753.72564,72886051,,,Similar,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E92000001,England,England,Female,All ages,,,2001 - 03,141.7507,140.90262,142.60259,140.41534,143.09489,108527.49357,76168479,,,Similar,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E92000001,England,England,Persons,All ages,,,2001 - 03,166.75776,166.0206,167.49737,165.59664,167.92454,199281.21921,149054530,,,Similar,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E12000001,North East region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,241.38347,234.07083,248.84809,229.9242,253.194,5165.76242,3697475,,,Worse,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E12000002,North West region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,240.21885,235.84844,244.64483,233.35397,247.21223,13682.02997,9906192,,,Worse,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E12000003,Yorkshire and the Humber region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,225.71256,220.86831,230.63027,218.10889,233.4861,9640.6656,7297804,,,Worse,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E12000004,East Midlands region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,224.72491,219.48526,230.05054,216.5036,233.145,8246.85593,6230636,,,Worse,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E12000005,West Midlands region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,213.59182,208.96734,218.28624,206.33301,221.01234,9694.45346,7796374,,,Similar,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E12000006,East of England region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,199.23902,194.99841,203.54412,192.58291,206.04423,9591.12012,7996530,,,Better,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E12000007,London region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,230.9057,226.46022,235.41286,223.9253,238.02874,11501.49725,10871818,,,Worse,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E12000008,South East region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,191.74772,188.43308,195.10401,186.54099,197.05078,14004.19699,11818864,,,Better,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E12000009,South West region (statistical),Regions (statistical),Male,All ages,,,2001 - 03,177.62037,173.84284,181.45648,171.69164,183.68454,9227.1439,7270358,,,Better,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E12000001,North East region (statistical),Regions (statistical),Female,All ages,,,2001 - 03,165.44859,161.3586,169.6156,159.03573,172.03951,6276.64833,3923676,,,Worse,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E12000002,North West region (statistical),Regions (statistical),Female,All ages,,,2001 - 03,168.76063,166.25115,171.29833,164.81714,172.76941,17444.49689,10466333,,,Worse,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E12000003,Yorkshire and the Humber region (statistical),Regions (statistical),Female,All ages,,,2001 - 03,148.47475,145.75512,151.23213,144.20433,152.83246,11491.53214,7705264,,,Worse,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E12000004,East Midlands region (statistical),Regions (statistical),Female,All ages,,,2001 - 03,143.95877,141.00903,146.95442,139.3293,148.69437,9162.729,6435819,,,Similar,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E12000005,West Midlands region (statistical),Regions (statistical),Female,All ages,,,2001 - 03,140.67184,138.05991,143.32053,136.57076,144.85792,11183.44116,8111071,,,Similar,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E12000006,East of England region (statistical),Regions (statistical),Female,All ages,,,2001 - 03,131.81821,129.39701,134.2731,128.01642,135.6979,11439.51973,8310754,,,Better,Not compared,20010000,,,3y"
"93963,""Mortality rate from respiratory disease, all ages"",E92000001,England,E12000007,London region (statistical),Regions (statistical),Female,All ages,,,2001 - 03,154.31354,151.71828,156.94181,150.23701,158.4664,13675.29139,11222073,,,Worse,Not compared,20010000,,,3y"
